time,.layout.dim,.layout.data_offset,.data
2022/07/07/23:33:49.253643,[],0,"(-0.41147354893570026, -0.8982549238642719, 0.2)"
2022/07/07/23:33:49.353604,[],0,"(-0.41147354893570026, -0.8982549238642719, 0.2)"
2022/07/07/23:33:49.553863,[],0,"(-0.23050818014815797, -0.888323005020985, 0.2)"
2022/07/07/23:33:49.653717,[],0,"(0.014850197926066433, -0.8695533659538296, 0.2)"
2022/07/07/23:33:49.753452,[],0,"(0.33745755161650565, -0.8371981718197594, 0.2)"
2022/07/07/23:33:49.853705,[],0,"(0.6587351454893585, -0.7794013230134671, 0.2)"
2022/07/07/23:33:49.953644,[],0,"(0.8391820764724972, -0.6862550463591219, 0.2)"
2022/07/07/23:33:50.053251,[],0,"(0.8928149538311647, -0.5661700259855135, 0.2)"
2022/07/07/23:33:50.153618,[],0,"(0.8986358148983857, -0.42466385671518986, 0.2)"
2022/07/07/23:33:50.253613,[],0,"(0.8894867213677979, -0.24778148416735668, 0.2)"
2022/07/07/23:33:50.353648,[],0,"(0.8715372855672666, -0.00888888959272741, 0.2)"
2022/07/07/23:33:50.453693,[],0,"(0.8406923700922915, 0.30836692787114406, 0.2)"
2022/07/07/23:33:50.553701,[],0,"(0.7855834281592846, 0.6358504896774279, 0.2)"
2022/07/07/23:33:50.653772,[],0,"(0.6953258056597966, 0.8301791029347652, 0.2)"
2022/07/07/23:33:50.753702,[],0,"(0.5770229233403924, 0.8909418509767806, 0.2)"
2022/07/07/23:33:50.853688,[],0,"(0.4376126868463999, 0.8989244438163934, 0.2)"
2022/07/07/23:33:50.953393,[],0,"(0.26461691131645393, 0.8905933250083881, 0.2)"
2022/07/07/23:33:51.053468,[],0,"(0.032027254995832255, 0.873434673924919, 0.2)"
2022/07/07/23:33:51.153706,[],0,"(-0.27943306926606043, 0.8440174608739796, 0.2)"
2022/07/07/23:33:51.253677,[],0,"(-0.6118874933405019, 0.7915019166189035, 0.2)"
2022/07/07/23:33:51.353673,[],0,"(-0.8201950738216837, 0.7042008444906831, 0.2)"
2022/07/07/23:33:51.453916,[],0,"(-0.888734056436653, 0.5877404667998124, 0.2)"
2022/07/07/23:33:51.553692,[],0,"(-0.8991127104378618, 0.4503328406582986, 0.2)"
2022/07/07/23:33:51.653523,[],0,"(-0.8916428807956872, 0.2810328576147834, 0.2)"
2022/07/07/23:33:51.753089,[],0,"(-0.8752499426615757, 0.054567448861839486, 0.2)"
2022/07/07/23:33:51.753401,[],0,"(-0.8752499426615757, 0.054567448861839486, 0.2)"
2022/07/07/23:33:51.853811,[],0,"(-0.8752499426615757, 0.054567448861839486, 0.2)"
2022/07/07/23:33:51.953663,[],0,"(-0.8752499426615757, 0.054567448861839486, 0.2)"
2022/07/07/23:33:52.053604,[],0,"(-0.8752499426615757, 0.054567448861839486, 0.2)"
2022/07/07/23:33:52.153654,[],0,"(-0.8752499426615757, 0.054567448861839486, 0.2)"
2022/07/07/23:33:52.353791,[],0,"(-0.8471823186847175, -0.25073835874069406, 0.2)"
2022/07/07/23:33:52.453582,[],0,"(-0.7971607127571846, -0.5869255508916797, 0.2)"
2022/07/07/23:33:52.553551,[],0,"(-0.7128690278559827, -0.8091688275483591, 0.2)"
2022/07/07/23:33:52.653516,[],0,"(-0.5983239689733009, -0.8861545069893066, 0.2)"
2022/07/07/23:33:52.753484,[],0,"(-0.462836329934722, -0.8991913052130937, 0.2)"
2022/07/07/23:33:52.853656,[],0,"(-0.29704743033842196, -0.8926350195871899, 0.2)"
2022/07/07/23:33:52.953655,[],0,"(-0.0765152466774794, -0.8769871191560276, 0.2)"
2022/07/07/23:33:53.053746,[],0,"(0.22235644332545018, -0.8501955060467337, 0.2)"
2022/07/07/23:33:53.153683,[],0,"(0.5610562308805805, -0.8025650011949862, 0.2)"
2022/07/07/23:33:53.253629,[],0,"(0.7970435773641238, -0.7213192134639967, 0.2)"
2022/07/07/23:33:53.353692,[],0,"(0.8831625963668797, -0.60877349642406, 0.2)"
2022/07/07/23:33:53.453701,[],0,"(0.8991495877204997, -0.47513442450478466, 0.2)"
2022/07/07/23:33:53.553658,[],0,"(0.8935689202895515, -0.312678444148641, 0.2)"
2022/07/07/23:33:53.653718,[],0,"(0.8786498647844908, -0.09787925056168637, 0.2)"
2022/07/07/23:33:53.753723,[],0,"(0.8530652532231301, 0.1943519328061452, 0.2)"
2022/07/07/23:33:53.853475,[],0,"(0.8077210812432251, 0.5343811379182304, 0.2)"
2022/07/07/23:33:53.953428,[],0,"(0.7295406594463323, 0.7837687431475259, 0.2)"
2022/07/07/23:33:53.953454,[],0,"(0.7295406594463323, 0.7837687431475259, 0.2)"
2022/07/07/23:33:54.053800,[],0,"(0.7295406594463323, 0.7837687431475259, 0.2)"
2022/07/07/23:33:54.153639,[],0,"(0.7295406594463323, 0.7837687431475259, 0.2)"
2022/07/07/23:33:54.253687,[],0,"(0.7295406594463323, 0.7837687431475259, 0.2)"
2022/07/07/23:33:54.353629,[],0,"(0.7295406594463323, 0.7837687431475259, 0.2)"
2022/07/07/23:33:54.453622,[],0,"(0.7295406594463323, 0.7837687431475259, 0.2)"
2022/07/07/23:33:54.553585,[],0,"(0.7295406594463323, 0.7837687431475259, 0.2)"
2022/07/07/23:33:54.653633,[],0,"(0.7295406594463323, 0.7837687431475259, 0.2)"
2022/07/07/23:33:54.753639,[],0,"(0.7295406594463323, 0.7837687431475259, 0.2)"
2022/07/07/23:33:54.953866,[],0,"(0.619087898929481, 0.8797140798010421, 0.2)"
2022/07/07/23:33:55.053654,[],0,"(0.4872377059408914, 0.8989754500353953, 0.2)"
2022/07/07/23:33:55.153826,[],0,"(0.3279434397713795, 0.8944432864668843, 0.2)"
2022/07/07/23:33:55.253708,[],0,"(0.11867054478873107, 0.8802414917017987, 0.2)"
2022/07/07/23:33:55.353674,[],0,"(-0.16678030345558495, 0.8557994469551873, 0.2)"
2022/07/07/23:33:55.453690,[],0,"(-0.5070094371917492, 0.8126362124928821, 0.2)"
2022/07/07/23:33:55.553678,[],0,"(-0.7693018048919988, 0.7375234257539505, 0.2)"
2022/07/07/23:33:55.653257,[],0,"(-0.8757610308095793, 0.629264839994329, 0.2)"
2022/07/07/23:33:55.753394,[],0,"(-0.8986551618831569, 0.4991561058136696, 0.2)"
2022/07/07/23:33:55.853510,[],0,"(-0.8952563147354661, 0.34285969642641595, 0.2)"
2022/07/07/23:33:55.953646,[],0,"(-0.8817649749463258, 0.1389023680220709, 0.2)"
2022/07/07/23:33:56.053476,[],0,"(-0.8584056219991445, -0.13968802202681657, 0.2)"
2022/07/07/23:33:56.153639,[],0,"(-0.8173184505744355, -0.47905521383412164, 0.2)"
2022/07/07/23:33:56.154191,[],0,"(-0.8173184505744355, -0.47905521383412164, 0.2)"
2022/07/07/23:33:56.253263,[],0,"(-0.8173184505744355, -0.47905521383412164, 0.2)"
2022/07/07/23:33:56.353560,[],0,"(-0.8173184505744355, -0.47905521383412164, 0.2)"
2022/07/07/23:33:56.553374,[],0,"(-0.7452587319411597, -0.7536101011696638, 0.2)"
2022/07/07/23:33:56.653795,[],0,"(-0.6393008159939977, -0.8712518699580228, 0.2)"
2022/07/07/23:33:56.753712,[],0,"(-0.5108989108941012, -0.8981731959261144, 0.2)"
2022/07/07/23:33:56.853706,[],0,"(-0.35744421607355004, -0.8960056528439215, 0.2)"
